"","struct_idx","frequency","path_id","sequence_id","wavevector_x","wavevector_y","eig_idx"
"374314",10,1640,3,20,0.399448234199237,1.25663706143592,5
"374315",10,1640,3,21,0.422231289809436,1.19380520836412,5
"374316",10,1640,3,22,0.484118802685231,1.13097335529233,5
"374317",10,1640,3,23,0.502654824574367,1.12040577718415,5
"374318",10,1640,3,24,0.628318530717959,1.12062781408939,5
"374319",10,1640,3,25,0.675718771633005,1.13097335529233,5
"374320",10,1640,3,26,0.75398223686155,1.158941540836,5
"374321",10,1640,3,27,0.879645943005142,1.18900149287616,5
"374322",10,1640,3,28,1.00530964914873,1.14700295218716,5
"374323",10,1640,3,29,1.01725109410736,1.13097335529233,5
"374324",10,1640,3,30,1.10754634726185,1.06814150222053,5
"374325",10,1640,3,31,1.13097335529233,1.05721686585765,5
"374326",10,1640,3,32,1.19202790923551,1.00530964914873,5
"374327",10,1640,3,33,1.25663706143592,0.962822646765961,5
"374328",10,1640,3,34,1.28005661052398,0.942477796076938,5
"374329",10,1640,3,35,1.36447270933642,0.879645943005142,5
"374330",10,1640,3,36,1.38230076757951,0.867866049121845,5
"374331",10,1640,3,37,1.47563486915954,0.816814089933346,5
"374332",10,1640,3,38,1.5079644737231,0.795502143165264,5
"374333",10,1640,3,39,1.53714694898509,0.816814089933346,5
"374334",10,1640,3,40,1.58391801009299,0.879645943005142,5
"374335",10,1640,3,41,1.61187985704143,0.942477796076938,5
"374336",10,1640,3,42,1.63362817986669,1.0022677077897,5
"374337",10,1640,3,43,1.63426936539186,1.00530964914873,5
"374338",10,1640,3,44,1.64699323549835,1.06814150222053,5
"374339",10,1640,3,45,1.65960229246804,1.13097335529233,5
"374340",10,1640,3,46,1.67207272341496,1.19380520836412,5
"374341",10,1640,3,47,1.68426765339008,1.25663706143592,5
"374342",10,1640,3,48,1.69578557788498,1.31946891450771,5
"374343",10,1640,3,49,1.70563431817338,1.38230076757951,5
"374344",10,1640,3,50,1.71135750260565,1.4451326206513,5
"374345",10,1640,3,51,1.70594704195437,1.5079644737231,5
"374346",10,1640,3,52,1.66087227108133,1.5707963267949,5
"374347",10,1640,3,53,1.63362817986669,1.58392704948716,5
