"","iElectron","t","ix","iy","iz"
"468",129,9.388061e-12,101,146,88
"469",135,9.39477e-12,86,108,17
"470",139,9.408554e-12,116,25,31
"471",132,9.505072e-12,132,130,5
"472",132,9.505439e-12,131,131,5
"473",129,9.517225e-12,101,146,87
"474",129,9.57107e-12,102,146,90
"475",136,9.61794e-12,101,91,18
"476",136,9.626462e-12,98,91,21
"477",136,9.63743e-12,99,90,21
"478",131,9.657651e-12,103,17,36
"479",133,9.715112e-12,225,61,41
"480",136,9.738069e-12,97,91,21
"481",131,9.760849e-12,104,16,37
"482",135,9.777113e-12,86,109,18
"483",136,9.862196e-12,99,92,22
"484",135,9.87028e-12,86,113,21
"485",138,9.896075e-12,44,3,28
"486",138,9.933248e-12,43,2,32
"487",135,9.935595e-12,84,113,21
"488",143,9.975762e-12,109,9,8
"489",138,1.003849e-11,41,4,33
"490",139,1.007448e-11,115,26,33
"491",129,1.010987e-11,100,144,90
"492",133,1.012044e-11,223,61,41
"493",135,1.013517e-11,84,113,22
"494",132,1.015745e-11,132,131,4
"495",135,1.020562e-11,85,114,20
"496",132,1.022608e-11,134,131,3
"497",132,1.026896e-11,132,132,4
"498",132,1.028461e-11,130,132,3
"499",135,1.033445e-11,82,113,22
"500",133,1.034007e-11,219,62,41
"501",138,1.040504e-11,39,2,34
"502",132,1.040691e-11,131,129,2
"503",136,1.041033e-11,99,91,22
"504",136,1.041377e-11,98,90,22
"505",139,1.041965e-11,114,26,34
"506",138,1.048758e-11,38,0,33
"507",132,1.051408e-11,130,128,2
"508",139,1.053103e-11,117,27,33
"509",135,1.055779e-11,85,115,23
"510",135,1.055779e-11,89,117,23
"511",129,1.059482e-11,102,145,90
"512",132,1.062833e-11,131,127,2
"513",132,1.063503e-11,131,129,2
"514",138,1.066523e-11,38,0,34
"515",138,1.071476e-11,37,249,34
"516",135,1.073538e-11,87,120,25
"517",136,1.075316e-11,100,92,22
"518",138,1.078738e-11,37,249,33
"519",142,1.083217e-11,168,190,24
"520",138,1.083586e-11,39,248,34
"521",135,1.084247e-11,86,120,29
"522",136,1.085197e-11,98,91,22
"523",132,1.089858e-11,132,131,2
"524",138,1.090082e-11,37,247,36
"525",138,1.094728e-11,36,248,36
"526",138,1.104129e-11,36,249,37
"527",132,1.107108e-11,132,133,1
"528",132,1.107383e-11,131,132,1
"529",138,1.112208e-11,36,247,36
"530",138,1.117435e-11,36,245,38
"531",135,1.121276e-11,88,121,31
"532",135,1.130682e-11,88,120,31
"533",138,1.131271e-11,37,242,38
"534",138,1.134873e-11,41,243,40
"535",132,1.136244e-11,132,133,1
"536",138,1.145716e-11,42,242,40
"537",132,1.145993e-11,133,130,0
"538",135,1.148539e-11,87,119,30
