C11,C12,C13,C22,C23,C33
0.319214527,0.035989109,2.14E-13,0.319214527,2.13E-13,0.015158567
0.342084966,0.041288169,2.21E-13,0.342084966,2.19E-13,0.019346458
0.353894298,0.044083883,2.30E-13,0.353894298,2.28E-13,0.02108984
0.377198302,0.050017165,2.39E-13,0.377198302,2.45E-13,0.026367893
0.389275826,0.053146031,2.50E-13,0.389275826,2.48E-13,0.028585144
0.413061763,0.059743094,2.61E-13,0.413061763,2.56E-13,0.035104999
0.425437687,0.063220196,2.54E-13,0.425437687,2.68E-13,0.037869749
0.449754205,0.070507287,2.72E-13,0.449754205,2.72E-13,0.045770493
0.462454653,0.074343173,2.77E-13,0.462454653,2.78E-13,0.049152164
0.48734283,0.082339555,2.84E-13,0.48734283,2.85E-13,0.058546197
0.500383679,0.086537924,2.90E-13,0.500383679,2.91E-13,0.062603272
0.525869518,0.095252511,3.01E-13,0.525869518,3.04E-13,0.073559627
0.539251523,0.099808609,3.05E-13,0.539251523,3.05E-13,0.078331684
0.565339772,0.109236587,3.09E-13,0.565339772,3.13E-13,0.090858479
0.579045592,0.114136182,3.09E-13,0.579045592,3.14E-13,0.096357762
0.605714427,0.124254858,3.29E-13,0.605714427,3.36E-13,0.1103863
0.619707207,0.129473345,3.27E-13,0.619707207,3.28E-13,0.116589965
0.646902634,0.140236659,3.39E-13,0.646902634,3.35E-13,0.131963581
0.661125364,0.145737851,3.40E-13,0.661125364,3.40E-13,0.138807946
0.688754563,0.157069786,3.47E-13,0.688754563,3.42E-13,0.155278699
0.703129434,0.162804223,3.46E-13,0.703129434,3.46E-13,0.16265689
0.731053195,0.174592354,3.59E-13,0.731053195,3.57E-13,0.179892496
0.745480606,0.180495454,3.60E-13,0.745480606,3.62E-13,0.187656621
0.77350602,0.192586574,3.59E-13,0.77350602,3.64E-13,0.20525849
0.787863364,0.198577318,3.68E-13,0.787863364,3.70E-13,0.213226871
0.815738543,0.210777202,3.75E-13,0.815738543,3.83E-13,0.230757823
0.829879306,0.216758217,3.78E-13,0.829879306,3.80E-13,0.238726878
0.857291808,0.228836944,3.80E-13,0.857291808,3.86E-13,0.255744701
0.871045666,0.234696699,3.83E-13,0.871045666,3.85E-13,0.263503977
0.897625655,0.246399756,3.82E-13,0.897625655,3.91E-13,0.279595201
0.910800157,0.252017142,3.90E-13,0.910800157,3.93E-13,0.286943196
0.936128437,0.263081094,3.90E-13,0.936128437,3.93E-13,0.301751216
0.948512585,0.268332102,3.98E-13,0.948512585,3.95E-13,0.308509341
0.972132953,0.27850243,3.99E-13,0.972132953,3.97E-13,0.321752491
0.983502729,0.283268001,4.06E-13,0.983502729,4.06E-13,0.327775008
1.00493791,0.292316075,4.04E-13,1.00493791,4.02E-13,0.339252777
1.015063655,0.29648985,4.09E-13,1.015063655,4.05E-13,0.344431536
1.033834265,0.304226143,4.12E-13,1.033834265,4.03E-13,0.354019857
1.042489769,0.307720689,4.09E-13,1.042489769,4.11E-13,0.358283832
1.058136069,0.314002098,4.07E-13,1.058136069,4.12E-13,0.365922205
1.065109237,0.316752467,4.17E-13,1.065109237,4.06E-13,0.36923269
1.077215278,0.321482812,4.12E-13,1.077215278,4.10E-13,0.37490656
1.08232002,0.323446783,4.13E-13,1.08232002,4.10E-13,0.377249295
1.090538849,0.326571109,4.14E-13,1.090538849,4.12E-13,0.380970453
1.093626885,0.327726257,4.14E-13,1.093626885,4.15E-13,0.382345672
1.098684117,0.329583656,4.16E-13,1.098684117,4.17E-13,0.384525807
1.10E-09,3.30E-10,4.12E-22,1.10E-09,4.17E-22,3.85E-10
0.007585323,0.007582109,1.19E-14,0.007585323,1.17E-14,0.007484613
0.010118341,0.010108494,1.67E-14,0.010114382,1.66E-14,0.009954282
0.012714266,0.012698438,2.03E-14,0.012714266,2.01E-14,0.012439814
