"","struct_idx","eig_idx","wavevector_idx1","wavevector_idx2","frequency"
"21285577",1024,1,36,8,1620.19396104416
"21285578",1024,1,37,8,1620.91885011606
"21285579",1024,1,38,8,1621.6043157492
"21285580",1024,1,39,8,1622.24193782115
"21285581",1024,1,40,8,1622.82421557629
"21285582",1024,1,41,8,1623.34468524761
"21285583",1024,1,42,8,1623.79799614667
"21285584",1024,1,43,8,1624.17994581341
"21285585",1024,1,44,8,1624.48747607016
"21285586",1024,1,45,8,1624.71863321413
"21285587",1024,1,46,8,1624.87249707904
"21285588",1024,1,47,8,1624.94908519925
"21285589",1024,1,48,8,1624.9492396432
"21285590",1024,1,49,8,1624.87450503895
"21285591",1024,1,50,8,1624.72700667083
"21285592",1024,1,51,8,1624.50933710927
"21285593",1024,1,1,9,1599.78314415617
"21285594",1024,1,2,9,1600.05159285934
"21285595",1024,1,3,9,1600.35010632338
"21285596",1024,1,4,9,1600.67366246615
"21285597",1024,1,5,9,1601.01676393319
"21285598",1024,1,6,9,1601.37366445791
"21285599",1024,1,7,9,1601.73862826973
"21285600",1024,1,8,9,1602.1062127536
"21285601",1024,1,9,9,1602.47156112273
"21285602",1024,1,10,9,1602.83068867227
"21285603",1024,1,11,9,1603.18074390197
"21285604",1024,1,12,9,1603.5202250371
"21285605",1024,1,13,9,1603.84913362865
"21285606",1024,1,14,9,1604.16905002803
"21285607",1024,1,15,9,1604.48312031363
"21285608",1024,1,16,9,1604.79595013342
"21285609",1024,1,17,9,1605.11340725906
"21285610",1024,1,18,9,1605.44234082638
"21285611",1024,1,19,9,1605.79023083899
"21285612",1024,1,20,9,1606.16478628743
"21285613",1024,1,21,9,1606.57351403032
"21285614",1024,1,22,9,1607.02328322182
"21285615",1024,1,23,9,1607.51991128913
"21285616",1024,1,24,9,1608.06779692419
"21285617",1024,1,25,9,1608.66962295809
"21285618",1024,1,26,9,1609.32614725128
"21285619",1024,1,27,9,1610.036093129
"21285620",1024,1,28,9,1610.79614310402
"21285621",1024,1,29,9,1611.60103164514
"21285622",1024,1,30,9,1612.44372564815
"21285623",1024,1,31,9,1613.31567594486
"21285624",1024,1,32,9,1614.20712015636
"21285625",1024,1,33,9,1615.10741649139
"21285626",1024,1,34,9,1616.00538933049
"21285627",1024,1,35,9,1616.88966998126
"21285628",1024,1,36,9,1617.74901914586
"21285629",1024,1,37,9,1618.57262081676
"21285630",1024,1,38,9,1619.35034012481
"21285631",1024,1,39,9,1620.07293994394
"21285632",1024,1,40,9,1620.73225283766
"21285633",1024,1,41,9,1621.32130636751
"21285634",1024,1,42,9,1621.83440107209
"21285635",1024,1,43,9,1622.26714175288
"21285636",1024,1,44,9,1622.61642418754
"21285637",1024,1,45,9,1622.88038106603
"21285638",1024,1,46,9,1623.0582927419
"21285639",1024,1,47,9,1623.15047016187
"21285640",1024,1,48,9,1623.15811886588
"21285641",1024,1,49,9,1623.08319399343
"21285642",1024,1,50,9,1622.92825655697
"21285643",1024,1,51,9,1622.69634067449
"21285644",1024,1,1,10,1594.39085183841
"21285645",1024,1,2,10,1594.68658361106
"21285646",1024,1,3,10,1595.01808253439
"21285647",1024,1,4,10,1595.37948897655
"21285648",1024,1,5,10,1595.76448292026
"21285649",1024,1,6,10,1596.16653359172
"21285650",1024,1,7,10,1596.57918189621
"21285651",1024,1,8,10,1596.99634570962
"21285652",1024,1,9,10,1597.41263419973
"21285653",1024,1,10,10,1597.82365374436
"21285654",1024,1,11,10,1598.22628543224
"21285655",1024,1,12,10,1598.61891324918
"21285656",1024,1,13,10,1599.00158327902
"21285657",1024,1,14,10,1599.3760776204
"21285658",1024,1,15,10,1599.74589188336
"21285659",1024,1,16,10,1600.11611145996
"21285660",1024,1,17,10,1600.49318854948
"21285661",1024,1,18,10,1600.88462854968
"21285662",1024,1,19,10,1601.29860049238
"21285663",1024,1,20,10,1601.74349147959
"21285664",1024,1,21,10,1602.22742941389
"21285665",1024,1,22,10,1602.75780149161
"21285666",1024,1,23,10,1603.3407975669
"21285667",1024,1,24,10,1603.98100711318
"21285668",1024,1,25,10,1604.68109567216
"21285669",1024,1,26,10,1605.44158123796
"21285670",1024,1,27,10,1606.26072330655
"21285671",1024,1,28,10,1607.13452818408
"21285672",1024,1,29,10,1608.05686484604
"21285673",1024,1,30,10,1609.01967750525
"21285674",1024,1,31,10,1610.0132751633
"21285675",1024,1,32,10,1611.0266753414
"21285676",1024,1,33,10,1612.04797886436
"21285677",1024,1,34,10,1613.06475444921
"21285678",1024,1,35,10,1614.06441509669
"21285679",1024,1,36,10,1615.03457204066
"21285680",1024,1,37,10,1615.96335559696
"21285681",1024,1,38,10,1616.83969526519
"21285682",1024,1,39,10,1617.65355375661
"21285683",1024,1,40,10,1618.39611135461
"21285684",1024,1,41,10,1619.0598983973
"21285685",1024,1,42,10,1619.6388749746
"21285686",1024,1,43,10,1620.12845837696
"21285687",1024,1,44,10,1620.52550054714
"21285688",1024,1,45,10,1620.82821977196
"21285689",1024,1,46,10,1621.03609299543
"21285690",1024,1,47,10,1621.14971722762
"21285691",1024,1,48,10,1621.17065029623
"21285692",1024,1,49,10,1621.10124235778
"21285693",1024,1,50,10,1620.94446989838
"21285694",1024,1,51,10,1620.70378323875
"21285695",1024,1,1,11,1588.52357385982
"21285696",1024,1,2,11,1588.84923018433
"21285697",1024,1,3,11,1589.21762620388
"21285698",1024,1,4,11,1589.62194340199
"21285699",1024,1,5,11,1590.05492080354
"21285700",1024,1,6,11,1590.50912658215
"21285701",1024,1,7,11,1590.97726223835
"21285702",1024,1,8,11,1591.45248974318
"21285703",1024,1,9,11,1591.92876756193
"21285704",1024,1,10,11,1592.4011772567
"21285705",1024,1,11,11,1592.86621928337
"21285706",1024,1,12,11,1593.3220554129
"21285707",1024,1,13,11,1593.76867637741
"21285708",1024,1,14,11,1594.20797690269
"21285709",1024,1,15,11,1594.64372584052
"21285710",1024,1,16,11,1595.0814259631
"21285711",1024,1,17,11,1595.52806535501
"21285712",1024,1,18,11,1595.99176958899
"21285713",1024,1,19,11,1596.48137058804
"21285714",1024,1,20,11,1597.00591403974
"21285715",1024,1,21,11,1597.57413226888
"21285716",1024,1,22,11,1598.19391329481
"21285717",1024,1,23,11,1598.8717988894
"21285718",1024,1,24,11,1599.61254414811
"21285719",1024,1,25,11,1600.41876781245
"21285720",1024,1,26,11,1601.2907161412
"21285721",1024,1,27,11,1602.22615396149
"21285722",1024,1,28,11,1603.22038575699
"21285723",1024,1,29,11,1604.26639885705
"21285724",1024,1,30,11,1605.35511162251
"21285725",1024,1,31,11,1606.47570323653
"21285726",1024,1,32,11,1607.61599885599
"21285727",1024,1,33,11,1608.76288424944
"21285728",1024,1,34,11,1609.90272683839
"21285729",1024,1,35,11,1611.02178419073
"21285730",1024,1,36,11,1612.10658544932
"21285731",1024,1,37,11,1613.14427515424
"21285732",1024,1,38,11,1614.12291203839
"21285733",1024,1,39,11,1615.03171760201
"21285734",1024,1,40,11,1615.861270816
"21285735",1024,1,41,11,1616.60364650918
"21285736",1024,1,42,11,1617.2524962151
"21285737",1024,1,43,11,1617.80307175981
"21285738",1024,1,44,11,1618.25219379369
"21285739",1024,1,45,11,1618.598169781
"21285740",1024,1,46,11,1618.84066848558
"21285741",1024,1,47,11,1618.98056045295
"21285742",1024,1,48,11,1619.01973605245
"21285743",1024,1,49,11,1618.96091397631
"21285744",1024,1,50,11,1618.80745342322
"21285745",1024,1,51,11,1618.56318234536
"21285746",1024,1,1,12,1582.22452377631
"21285747",1024,1,2,12,1582.58457887591
"21285748",1024,1,3,12,1582.99564354435
"21285749",1024,1,4,12,1583.44980580929
"21285750",1024,1,5,12,1583.93873834301
"21285751",1024,1,6,12,1584.45398860533
"21285752",1024,1,7,12,1584.98730144368
"21285753",1024,1,8,12,1585.5309655729
"21285754",1024,1,9,12,1586.07817002863
"21285755",1024,1,10,12,1586.62335159841
"21285756",1024,1,11,12,1587.16251038841
"21285757",1024,1,12,12,1587.69346896282
"21285758",1024,1,13,12,1588.2160514385
"21285759",1024,1,14,12,1588.73216258369
"21285760",1024,1,15,12,1589.24575292417
"21285761",1024,1,16,12,1589.76266333537
"21285762",1024,1,17,12,1590.29035073862
"21285763",1024,1,18,12,1590.83750461772
"21285764",1024,1,19,12,1591.41357167999
"21285765",1024,1,20,12,1592.02821286447
"21285766",1024,1,21,12,1592.69072282671
"21285767",1024,1,22,12,1593.40944659892
"21285768",1024,1,23,12,1594.1912306462
"21285769",1024,1,24,12,1595.04094515524
"21285770",1024,1,25,12,1595.96111037443
"21285771",1024,1,26,12,1596.95165198555
"21285772",1024,1,27,12,1598.00979946523
"21285773",1024,1,28,12,1599.13012867539
"21285774",1024,1,29,12,1600.30473752027
"21285775",1024,1,30,12,1601.52353340879
"21285776",1024,1,31,12,1602.77460486143
"21285777",1024,1,32,12,1604.04464736338
"21285778",1024,1,33,12,1605.31941501356
"21285779",1024,1,34,12,1606.58417351768
"21285780",1024,1,35,12,1607.82413525169
"21285781",1024,1,36,12,1609.02486226481
"21285782",1024,1,37,12,1610.17262738086
"21285783",1024,1,38,12,1611.25472665149
"21285784",1024,1,39,12,1612.25973838758
"21285785",1024,1,40,12,1613.17772519598
"21285786",1024,1,41,12,1614.0003763448
"21285787",1024,1,42,12,1614.72108881999
"21285788",1024,1,43,12,1615.33498693874
"21285789",1024,1,44,12,1615.83888248468
"21285790",1024,1,45,12,1616.23117996283
"21285791",1024,1,46,12,1616.51173449973
"21285792",1024,1,47,12,1616.68167277648
"21285793",1024,1,48,12,1616.74318977612
"21285794",1024,1,49,12,1616.69933566176
"21285795",1024,1,50,12,1616.55380747778
"21285796",1024,1,51,12,1616.31075941021
"21285797",1024,1,1,13,1575.53826996276
"21285798",1024,1,2,13,1575.93907989872
"21285799",1024,1,3,13,1576.40044439842
"21285800",1024,1,4,13,1576.91321394817
"21285801",1024,1,5,13,1577.46786866418
"21285802",1024,1,6,13,1578.05482037595
"21285803",1024,1,7,13,1578.66474744495
"21285804",1024,1,8,13,1579.28895565256
"21285805",1024,1,9,13,1579.91975197632
"21285806",1024,1,10,13,1580.55081176565
"21285807",1024,1,11,13,1581.17751488815
"21285808",1024,1,12,13,1581.7972238738
"21285809",1024,1,13,13,1582.40947759229
"21285810",1024,1,14,13,1583.01607766837
"21285811",1024,1,15,13,1583.62105122176
"21285812",1024,1,16,13,1584.23048176424
"21285813",1024,1,17,13,1584.85220923605
