"","C11","C12","C22","C16","C26","C66","norm_density","Label"
"238",0.29708805,0.21436444,0.29708805,0,0,0.11727403,0.6,"B"
"239",0.22732898,0.11637625,0.22732898,0,0,0.067326,0.6,"B"
"240",0.22463983,0.11218865,0.22463983,0,0,0.06383247,0.533333333333333,"C"
"241",0.23321032,0.12985305,0.23321032,0,0,0.08792175,0.733333333333333,"B"
"242",0.23278038,0.12924467,0.23278038,0,0,0.08696535,0.666666666666667,"B"
"243",0.23165525,0.12763266,0.23165525,0,0,0.08618854,0.666666666666667,"B"
"244",0.22937452,0.12707364,0.22937452,0,0,0.06662123,0.6,"B"
"245",0.22984499,0.12428129,0.22984499,0,0,0.08271927,0.666666666666667,"B"
"246",0.22916601,0.12343398,0.22916601,0,0,0.0807116,0.6,"B"
"247",0.22362884,0.11483706,0.22362884,0,0,0.06238646,0.6,"B"
"248",0.22159627,0.1119119,0.22159627,0,0,0.06197977,0.533333333333333,"C"
"249",0.22584526,0.11904708,0.22584526,0,0,0.06655946,0.666666666666667,"B"
"250",0.22559043,0.11855774,0.22559043,0,0,0.06635167,0.6,"B"
"251",0.22187637,0.1131785,0.22187637,0,0,0.06613319,0.6,"B"
"252",0.21973982,0.10900668,0.21973982,0,0,0.06171082,0.533333333333333,"C"
"253",0.22312712,0.11563865,0.22312712,0,0,0.06530649,0.6,"B"
"254",0.22283635,0.11506903,0.22283635,0,0,0.06448842,0.533333333333333,"C"
"255",0.21964294,0.10914533,0.21964294,0,0,0.06177158,0.533333333333333,"C"
"256",0.21835785,0.10657562,0.21835785,0,0,0.06130921,0.466666666666667,"C"
"257",0.74398769,0.67202692,0.74398769,0,0,0.76545211,0.933333333333333,"A"
"258",0.64611368,0.5819561,0.64611368,0,0,0.71143132,0.866666666666667,"A"
"259",0.54010872,0.49384589,0.54010872,0,0,0.64114998,0.866666666666667,"A"
"260",0.49248914,0.45242298,0.49248914,0,0,0.57941739,0.8,"A"
"261",0.65493675,0.57250848,0.65493675,0,0,0.68196828,0.866666666666667,"A"
"262",0.52565509,0.47146404,0.52565509,0,0,0.62723827,0.8,"A"
"263",0.43339923,0.34958854,0.43339923,0,0,0.43191254,0.8,"A"
"264",0.42893907,0.34358638,0.42893907,0,0,0.43143793,0.733333333333333,"B"
"265",0.55277259,0.44857929,0.55277259,0,0,0.58058465,0.866666666666667,"A"
"266",0.51991671,0.39960579,0.51991671,0,0,0.44510111,0.8,"A"
"267",0.41657839,0.34812558,0.41657839,0,0,0.46778401,0.8,"A"
"268",0.34740693,0.27644419,0.34740693,0,0,0.36339769,0.733333333333333,"B"
"269",0.45783272,0.38816204,0.45783272,0,0,0.53094094,0.8,"A"
"270",0.42869657,0.3599039,0.42869657,0,0,0.41794913,0.733333333333333,"B"
"271",0.34522423,0.27408513,0.34522423,0,0,0.34617751,0.733333333333333,"B"
"272",0.34222251,0.26862205,0.34222251,0,0,0.34484918,0.666666666666667,"B"
"273",0.56570381,0.47424045,0.56570381,0,0,0.60212784,0.866666666666667,"A"
"274",0.4793109,0.41953407,0.4793109,0,0,0.56528547,0.8,"A"
"275",0.38247871,0.31036377,0.38247871,0,0,0.46724509,0.8,"A"
"276",0.34571688,0.27538753,0.34571688,0,0,0.39412643,0.733333333333333,"B"
"277",0.49461714,0.37846901,0.49461714,0,0,0.45314213,0.8,"A"
"278",0.37779981,0.31273453,0.37779981,0,0,0.43216431,0.733333333333333,"B"
"279",0.28676879,0.18405369,0.28676879,0,0,0.16363936,0.733333333333333,"B"
"280",0.28211332,0.17912423,0.28211332,0,0,0.16350533,0.666666666666667,"B"
"281",0.33276956,0.23321146,0.33276956,0,0,0.31525072,0.8,"A"
"282",0.32934959,0.22641004,0.32934959,0,0,0.24105065,0.733333333333333,"B"
"283",0.30360596,0.22336387,0.30360596,0,0,0.26977467,0.733333333333333,"B"
"284",0.27828897,0.17373634,0.27828897,0,0,0.15829207,0.666666666666667,"B"
"285",0.28521247,0.18273885,0.28521247,0,0,0.16364667,0.733333333333333,"B"
"286",0.28445117,0.1818286,0.28445117,0,0,0.16026365,0.666666666666667,"B"
"287",0.27771252,0.17318312,0.27771252,0,0,0.15579742,0.666666666666667,"B"
"288",0.27566259,0.16955948,0.27566259,0,0,0.15537374,0.6,"B"
"289",0.63679405,0.52132205,0.63679405,0,0,0.58953933,0.866666666666667,"A"
"290",0.54508397,0.46025214,0.54508397,0,0,0.5785739,0.8,"A"
"291",0.44738709,0.38426573,0.44738709,0,0,0.51283514,0.8,"A"
"292",0.39740194,0.34904731,0.39740194,0,0,0.48924966,0.733333333333333,"B"
"293",0.53611479,0.42584068,0.53611479,0,0,0.52862094,0.8,"A"
"294",0.40883693,0.35483708,0.40883693,0,0,0.50244641,0.733333333333333,"B"
"295",0.32314759,0.24267418,0.32314759,0,0,0.33151876,0.733333333333333,"B"
"296",0.31862794,0.23717822,0.31862794,0,0,0.33127854,0.666666666666667,"B"
"297",0.47003225,0.32079602,0.47003225,0,0,0.36019073,0.8,"A"
"298",0.44267757,0.29235108,0.44267757,0,0,0.30195654,0.733333333333333,"B"
"299",0.35453837,0.26284367,0.35453837,0,0,0.30313426,0.733333333333333,"B"
"300",0.28330543,0.19609407,0.28330543,0,0,0.24845805,0.666666666666667,"B"
"301",0.37243245,0.26871079,0.37243245,0,0,0.34290529,0.733333333333333,"B"
"302",0.34449592,0.2580512,0.34449592,0,0,0.26589909,0.666666666666667,"B"
"303",0.27630384,0.18808968,0.27630384,0,0,0.23065099,0.666666666666667,"B"
"304",0.27326127,0.18307009,0.27326127,0,0,0.22966964,0.6,"B"
"305",0.46597303,0.35280692,0.46597303,0,0,0.43024263,0.8,"A"
"306",0.38710755,0.32750145,0.38710755,0,0,0.42549367,0.733333333333333,"B"
"307",0.30158571,0.21725824,0.30158571,0,0,0.32662411,0.733333333333333,"B"
"308",0.27652409,0.21752225,0.27652409,0,0,0.29986041,0.666666666666667,"B"
"309",0.43502483,0.30710508,0.43502483,0,0,0.33793475,0.733333333333333,"B"
"310",0.31890328,0.24492214,0.31890328,0,0,0.31949241,0.666666666666667,"B"
"311",0.22841625,0.11825877,0.22841625,0,0,0.04941066,0.666666666666667,"B"
"312",0.22446084,0.11437407,0.22446084,0,0,0.04874249,0.6,"B"
"313",0.2339229,0.11902911,0.2339229,0,0,0.03685344,0.733333333333333,"B"
"314",0.23338797,0.1184566,0.23338797,0,0,0.03673945,0.666666666666667,"B"
"315",0.22581566,0.11437988,0.22581566,0,0,0.03638776,0.666666666666667,"B"
