Geometry,C11,C12,C22,C16,C26,C66,
000000001000000,0.74592296,0.66861124,0.74592296,0.00000000,0.00000000,0.75860310,
000000001000001,0.67933563,0.55884333,0.67933563,0.00000000,0.00000000,0.54278450,
000000001000010,0.58523874,0.45562902,0.58523874,0.00000000,0.00000000,0.45485115,
000000001000011,0.53056814,0.38348021,0.53056814,0.00000000,0.00000000,0.29643466,
000000001000100,0.65401482,0.56159433,0.65401482,0.00000000,0.00000000,0.66683326,
000000001000101,0.57874637,0.46037330,0.57874637,0.00000000,0.00000000,0.49882337,
000000001000110,0.49167243,0.32509079,0.49167243,0.00000000,0.00000000,0.24543398,
000000001000111,0.48674493,0.31680200,0.48674493,0.00000000,0.00000000,0.24364198,
000000001001000,0.57348308,0.47712069,0.57348308,0.00000000,0.00000000,0.59995613,
000000001001001,0.52045876,0.37615292,0.52045876,0.00000000,0.00000000,0.30496535,
000000001001010,0.36497520,0.26406490,0.36497520,0.00000000,0.00000000,0.35816082,
000000001001011,0.27910915,0.16389700,0.27910915,0.00000000,0.00000000,0.17437362,
000000001001100,0.43642473,0.35796118,0.43642473,0.00000000,0.00000000,0.48731157,
000000001001101,0.40088831,0.30158720,0.40088831,0.00000000,0.00000000,0.25779165,
000000001001110,0.27797610,0.16604816,0.27797610,0.00000000,0.00000000,0.17604312,
000000001001111,0.27458609,0.16028398,0.27458609,0.00000000,0.00000000,0.17321947,
000000001010000,0.49389279,0.42913103,0.49389279,0.00000000,0.00000000,0.58939207,
000000001010001,0.46677515,0.38943626,0.46677515,0.00000000,0.00000000,0.46637667,
000000001010010,0.41517630,0.32711688,0.41517630,0.00000000,0.00000000,0.40168267,
000000001010011,0.37914391,0.27189963,0.37914391,0.00000000,0.00000000,0.25661298,
000000001010100,0.41648141,0.33148354,0.41648141,0.00000000,0.00000000,0.44972441,
000000001010101,0.38183007,0.29774089,0.38183007,0.00000000,0.00000000,0.41650603,
000000001010110,0.31612174,0.19251418,0.31612174,0.00000000,0.00000000,0.15841908,
000000001010111,0.31113479,0.18512956,0.31113479,0.00000000,0.00000000,0.15815814,
000000001011000,0.35477190,0.26737009,0.35477190,0.00000000,0.00000000,0.35240180,
000000001011001,0.34796560,0.25590293,0.34796560,0.00000000,0.00000000,0.24628505,
000000001011010,0.31084139,0.23513146,0.31084139,0.00000000,0.00000000,0.28404347,
000000001011011,0.27107501,0.15532414,0.27107501,0.00000000,0.00000000,0.15325613,
000000001011100,0.27544797,0.16516041,0.27544797,0.00000000,0.00000000,0.16402899,
000000001011101,0.27492856,0.16413619,0.27492856,0.00000000,0.00000000,0.15870122,
000000001011110,0.26954598,0.15418650,0.26954598,0.00000000,0.00000000,0.15336585,
000000001011111,0.26758417,0.15023049,0.26758417,0.00000000,0.00000000,0.15244343,
000000001100000,0.64689871,0.55155813,0.64689871,0.00000000,0.00000000,0.66903996,
000000001100001,0.59204405,0.47498752,0.59204405,0.00000000,0.00000000,0.51278069,
000000001100010,0.51600675,0.39810472,0.51600675,0.00000000,0.00000000,0.41761716,
000000001100011,0.46653027,0.34365794,0.46653027,0.00000000,0.00000000,0.28457768,
000000001100100,0.56274571,0.48483555,0.56274571,0.00000000,0.00000000,0.61516513,
000000001100101,0.48853946,0.39778529,0.48853946,0.00000000,0.00000000,0.47258908,
000000001100110,0.40712632,0.26821972,0.40712632,0.00000000,0.00000000,0.21880633,
000000001100111,0.40220441,0.26023581,0.40220441,0.00000000,0.00000000,0.21724747,
000000001101000,0.51672145,0.38610977,0.51672145,0.00000000,0.00000000,0.46973014,
000000001101001,0.47787722,0.31785940,0.47787722,0.00000000,0.00000000,0.26211065,
000000001101010,0.35125326,0.24129775,0.35125326,0.00000000,0.00000000,0.29629515,
000000001101011,0.26885702,0.14721732,0.26885702,0.00000000,0.00000000,0.15059251,
000000001101100,0.40665441,0.31761402,0.40665441,0.00000000,0.00000000,0.41031831,
000000001101101,0.37391732,0.27194066,0.37391732,0.00000000,0.00000000,0.20898032,
000000001101110,0.26724744,0.14849667,0.26724744,0.00000000,0.00000000,0.15078631,
000000001101111,0.26399640,0.14279185,0.26399640,0.00000000,0.00000000,0.14825494,
000000001110000,0.40539355,0.31349359,0.40539355,0.00000000,0.00000000,0.44740360,
000000001110001,0.38712522,0.29879855,0.38712522,0.00000000,0.00000000,0.41222085,
000000001110010,0.35292177,0.24938262,0.35292177,0.00000000,0.00000000,0.32328890,
000000001110011,0.33766063,0.24679991,0.33766063,0.00000000,0.00000000,0.22975566,
000000001110100,0.39708481,0.30115248,0.39708481,0.00000000,0.00000000,0.39337557,
000000001110101,0.36243063,0.26780972,0.36243063,0.00000000,0.00000000,0.37035656,
000000001110110,0.29619283,0.16199019,0.29619283,0.00000000,0.00000000,0.11933923,
000000001110111,0.29200167,0.15594042,0.29200167,0.00000000,0.00000000,0.11929361,
000000001111000,0.26681619,0.14666464,0.26681619,0.00000000,0.00000000,0.11993356,
000000001111001,0.26642782,0.14593286,0.26642782,0.00000000,0.00000000,0.11939755,
000000001111010,0.26113137,0.13841190,0.26113137,0.00000000,0.00000000,0.11883895,
000000001111011,0.25806178,0.13290915,0.25806178,0.00000000,0.00000000,0.11251899,
000000001111100,0.26267868,0.14248355,0.26267868,0.00000000,0.00000000,0.11874009,
000000001111101,0.26224453,0.14164691,0.26224453,0.00000000,0.00000000,0.11596163,
000000001111110,0.25773381,0.13351992,0.25773381,0.00000000,0.00000000,0.11282633,
000000001111111,0.25606659,0.13019002,0.25606659,0.00000000,0.00000000,0.11229020,
000000010000000,0.76156899,0.68903355,0.76156899,0.00000000,0.00000000,0.77719758,
000000010000001,0.66898392,0.57279462,0.66898392,0.00000000,0.00000000,0.66284788,
000000010000010,0.56063023,0.46565782,0.56063023,0.00000000,0.00000000,0.58691478,
000000010000011,0.51027645,0.40124691,0.51027645,0.00000000,0.00000000,0.48328645,
000000010000100,0.67979068,0.56828843,0.67979068,0.00000000,0.00000000,0.61141983,
000000010000101,0.56227094,0.44576370,0.56227094,0.00000000,0.00000000,0.53991528,
000000010000110,0.46342389,0.31135861,0.46342389,0.00000000,0.00000000,0.31657059,
000000010000111,0.45854716,0.30385752,0.45854716,0.00000000,0.00000000,0.31597237,
000000010001000,0.53345500,0.47534516,0.53345500,0.00000000,0.00000000,0.62039782,
000000010001001,0.49794595,0.40437854,0.49794595,0.00000000,0.00000000,0.39472169,
000000010001010,0.38966046,0.29859880,0.38966046,0.00000000,0.00000000,0.43243853,
000000010001011,0.31935290,0.19543905,0.31935290,0.00000000,0.00000000,0.27788814,
000000010001100,0.44240050,0.36690759,0.44240050,0.00000000,0.00000000,0.50425780,
000000010001101,0.41585670,0.32038229,0.41585670,0.00000000,0.00000000,0.35891300,
